arrival_date,date_id,year,month,day,quarter
2015-12-27,177,2015,12,27,4
2015-12-28,178,2015,12,28,4
2015-12-29,179,2015,12,29,4
2015-12-30,180,2015,12,30,4
2015-12-31,181,2015,12,31,4
2016-01-01,182,2016,1,1,1
2016-01-02,183,2016,1,2,1
2016-01-03,184,2016,1,3,1
2016-01-04,185,2016,1,4,1
2016-01-05,186,2016,1,5,1
2016-01-06,187,2016,1,6,1
2016-01-07,188,2016,1,7,1
2016-01-08,189,2016,1,8,1
2016-01-09,190,2016,1,9,1
2016-01-10,191,2016,1,10,1
2016-01-12,192,2016,1,12,1
2016-01-13,193,2016,1,13,1
2016-01-14,194,2016,1,14,1
2016-01-15,195,2016,1,15,1
2016-01-16,196,2016,1,16,1
2016-01-17,197,2016,1,17,1
2016-01-18,198,2016,1,18,1
2016-01-19,199,2016,1,19,1
2016-01-21,200,2016,1,21,1
2016-01-22,201,2016,1,22,1
2016-01-23,202,2016,1,23,1
2016-01-25,203,2016,1,25,1
2016-01-26,204,2016,1,26,1
2016-01-27,205,2016,1,27,1
2016-01-28,206,2016,1,28,1
2016-01-29,207,2016,1,29,1
2016-01-30,208,2016,1,30,1
2016-01-31,209,2016,1,31,1
2016-02-01,210,2016,2,1,1
2016-02-02,211,2016,2,2,1
2016-02-03,212,2016,2,3,1
2016-02-04,213,2016,2,4,1
2016-02-05,214,2016,2,5,1
2016-02-06,215,2016,2,6,1
2016-02-07,216,2016,2,7,1
2016-02-08,217,2016,2,8,1
2016-02-09,218,2016,2,9,1
2016-02-10,219,2016,2,10,1
2016-02-11,220,2016,2,11,1
2016-02-12,221,2016,2,12,1
2016-02-13,222,2016,2,13,1
2016-02-14,223,2016,2,14,1
2016-02-15,224,2016,2,15,1
2016-02-16,225,2016,2,16,1
2016-02-17,226,2016,2,17,1
2016-02-18,227,2016,2,18,1
2016-02-19,228,2016,2,19,1
2016-02-20,229,2016,2,20,1
2016-02-21,230,2016,2,21,1
2016-02-22,231,2016,2,22,1
2016-02-23,232,2016,2,23,1
2016-02-24,233,2016,2,24,1
2016-02-25,234,2016,2,25,1
2016-02-26,235,2016,2,26,1
2016-02-27,236,2016,2,27,1
2016-02-28,237,2016,2,28,1
2016-02-29,238,2016,2,29,1
2016-03-01,239,2016,3,1,1
2016-03-02,240,2016,3,2,1
2016-03-03,241,2016,3,3,1
2016-03-04,242,2016,3,4,1
2016-03-05,243,2016,3,5,1
2016-03-07,244,2016,3,7,1
2016-03-08,245,2016,3,8,1
2016-03-09,246,2016,3,9,1
2016-03-10,247,2016,3,10,1
2016-03-11,248,2016,3,11,1
2016-03-12,249,2016,3,12,1
2016-03-13,250,2016,3,13,1
2016-03-14,251,2016,3,14,1
2016-03-15,252,2016,3,15,1
2016-03-16,253,2016,3,16,1
2016-03-17,254,2016,3,17,1
2016-03-18,255,2016,3,18,1
2016-03-19,256,2016,3,19,1
2016-03-20,257,2016,3,20,1
2016-03-21,258,2016,3,21,1
2016-03-22,259,2016,3,22,1
2016-03-23,260,2016,3,23,1
2016-03-24,261,2016,3,24,1
2016-03-25,262,2016,3,25,1
2016-03-26,263,2016,3,26,1
2016-03-27,264,2016,3,27,1
2016-03-28,265,2016,3,28,1
2016-03-29,266,2016,3,29,1
2016-03-30,267,2016,3,30,1
2016-03-31,268,2016,3,31,1
2016-04-01,269,2016,4,1,2
2016-04-02,270,2016,4,2,2
2016-04-03,271,2016,4,3,2
2016-04-04,272,2016,4,4,2
2016-04-05,273,2016,4,5,2
2016-04-06,274,2016,4,6,2
2016-04-07,275,2016,4,7,2
2016-04-08,276,2016,4,8,2
2016-04-09,277,2016,4,9,2
2016-04-10,278,2016,4,10,2
2016-04-11,279,2016,4,11,2
2016-04-12,280,2016,4,12,2
2016-04-13,281,2016,4,13,2
2016-04-14,282,2016,4,14,2
2016-04-15,283,2016,4,15,2
2016-04-16,284,2016,4,16,2
2016-04-17,285,2016,4,17,2
2016-04-18,286,2016,4,18,2
2016-04-19,287,2016,4,19,2
2016-04-20,288,2016,4,20,2
2016-04-21,289,2016,4,21,2
2016-04-22,290,2016,4,22,2
2016-04-23,291,2016,4,23,2
2016-04-24,292,2016,4,24,2
2016-04-25,293,2016,4,25,2
2016-04-26,294,2016,4,26,2
2016-04-27,295,2016,4,27,2
2016-04-28,296,2016,4,28,2
2016-04-29,297,2016,4,29,2
2016-04-30,298,2016,4,30,2
2016-05-01,299,2016,5,1,2
2016-05-02,300,2016,5,2,2
2016-05-03,301,2016,5,3,2
2016-05-04,302,2016,5,4,2
2016-05-05,303,2016,5,5,2
2016-05-06,304,2016,5,6,2
2016-05-07,305,2016,5,7,2
2016-05-08,306,2016,5,8,2
2016-05-09,307,2016,5,9,2
2016-05-10,308,2016,5,10,2
2016-05-11,309,2016,5,11,2
2016-05-12,310,2016,5,12,2
2016-05-13,311,2016,5,13,2
2016-05-14,312,2016,5,14,2
2016-05-15,313,2016,5,15,2
2016-05-16,314,2016,5,16,2
2016-05-17,315,2016,5,17,2
2016-05-18,316,2016,5,18,2
2016-05-19,317,2016,5,19,2
2016-05-20,318,2016,5,20,2
